Strain (mm/mm)	Engineering stress (MPa)	Strain up to UTS (mm/mm)	Engineering stress up to UTS (MPa)	True strain (mm/mm)	True stress (MPa)	True strain in plastic region (mm/mm)	True stress in plastic region (MPa)	Fitted true strain in plastic region (mm/mm)	Fitted true stress in plastic region (MPa)	Plastic strain for Ansys (mm/mm)
0.0040725	294.4288886	0.0040725	294.4288886	0.00406423	295.6279502	0.016376667	384.8730674			
0.0041485	295.8829929	0.0041485	295.8829929	0.004139919	297.1104635	0.016376667	385.0594962			
0.0041645	297.483266	0.0041645	297.483266	0.004155852	298.7221351	0.016376667	384.910213			
0.0041245	298.9077229	0.0041245	298.9077229	0.004116018	300.1405678	0.016475038	385.2831228			
0.0041085	300.1653266	0.0041085	300.1653266	0.004100083	301.3985559	0.016573399	385.4394902			
0.0041845	301.8083473	0.0041845	301.8083473	0.004175769	303.0712643	0.016573399	385.4542112			
0.0041445	303.2403884	0.0041445	303.2403884	0.004135935	304.4971681	0.016671751	385.7304858			
0.0041125	304.4614499	0.0041125	304.4614499	0.004104067	305.7135476	0.016671751	385.7823647			
0.0041725	306.1265338	0.0041725	306.1265338	0.004163819	307.4038467	0.016770093	385.9619345			
0.004232	307.5220326	0.004232	307.5220326	0.00422307	308.8234659	0.016770093	386.1617582			
0.004232	309.0933478	0.004232	309.0933478	0.00422307	310.4014309	0.016868425	386.2221708			
0.0042245	310.3799095	0.0042245	310.3799095	0.004215602	311.6911095	0.016966747	386.6388348			
0.004248	312.0525776	0.004248	312.0525776	0.004239003	313.378177	0.016966747	386.5357475			
0.004284	313.6011401	0.004284	313.6011401	0.00427485	314.9446074	0.016966747	386.7657653			
0.004316	314.9456178	0.004316	314.9456178	0.004306713	316.3049231	0.01706506	386.7883617			
0.00428	316.4652223	0.00428	316.4652223	0.004270867	317.8196934	0.017163363	386.7969267			
0.004364	317.8758896	0.004364	317.8758896	0.004354505	319.2631	0.017163363	386.7597519			
0.004364	319.2272621	0.004364	319.2272621	0.004354505	320.6203698	0.017261657	386.8721267			
0.00436	320.9006197	0.00436	320.9006197	0.004350523	322.2997464	0.017261657	386.9240363			
0.00434	322.1278865	0.00434	322.1278865	0.004330609	323.5259215	0.01735994	387.0294152			
0.004428	323.5523433	0.004428	323.5523433	0.004418225	324.9850331	0.01735994	387.2518064			
0.004452	324.9781791	0.004452	324.9781791	0.004442119	326.424982	0.017458215	387.3572205			
0.004396	326.2123407	0.004396	326.2123407	0.004386366	327.6463701	0.017556479	387.5215896			
0.00444	327.4320232	0.00444	327.4320232	0.004430172	328.8858214	0.017654734	387.8270365			
0.004484	329.0398806	0.004484	329.0398806	0.004473977	330.5152954	0.017654734	387.7835276			
0.004492	330.5746536	0.004492	330.5746536	0.004481941	332.0595949	0.017654734	387.8642296			
